"Wave" "Aspec"
100 0
100.09214583193 0
100.184376572403 0
100.276692299659 0
100.36909309201 0
100.461579027839 0
100.554150185604 0
100.646806643832 0
100.739548481125 0
100.832375776155 0
100.925288607668 0
101.018287054483 0
101.111371195491 0
101.204541109654 0
101.29779687601 0
101.391138573668 0
101.48456628181 0
101.57808007969 0
101.671680046638 0
101.765366262053 0
101.859138805412 0
101.95299775626 0
102.04694319422 0
102.140975198985 0
102.235093850323 0
102.329299228075 0
102.423591412157 0
102.517970482556 0
102.612436519334 0
102.706989602628 0
102.801629812647 0
102.896357229675 0
102.99117193407 0
103.086074006263 0
103.181063526759 0
103.27614057614 0
103.371305235058 0
103.466557584244 0
103.561897704499 0
103.657325676701 0
103.752841581801 0
103.848445500827 0
103.94413751488 0
104.039917705135 0
104.135786152843 0
104.23174293933 0
104.327788145997 0
104.423921854317 0
104.520144145844 0
104.616455102201 0
104.71285480509 0
104.809343336287 0
104.905920777645 0
105.002587211089 0
105.099342718622 0
105.196187382322 0
105.293121284344 0
105.390144506916 0
105.487257132344 0
105.584459243008 0
105.681750921366 0
105.77913224995 0
105.87660331137 0
105.97416418831 0
106.071814963531 0
106.169555719872 0
106.267386540246 0
106.365307507644 0
106.463318705131 0
106.561420215852 0
106.659612123026 0
106.75789450995 0
106.856267459996 0
106.954731056616 0
107.053285383336 0
107.151930523761 0
107.25066656157 0
107.349493580524 0
107.448411664456 0
107.547420897279 0
107.646521362984 0
107.745713145637 0
107.844996329383 0
107.944370998445 0
108.043837237123 0
108.143395129794 0
108.243044760913 0
108.342786215014 0
108.442619576707 0
108.542544930683 0
108.642562361706 0
108.742671954624 0
108.84287379436 0
108.943167965913 0
109.043554554366 0
109.144033644876 0
109.244605322679 0
109.345269673092 0
109.446026781508 0
109.5468767334 0
109.647819614319 0
109.748855509895 0
109.849984505838 0
109.951206687935 0
110.052522142054 0
110.153930954141 0
110.255433210222 0
110.357028996401 0
110.458718398863 0
110.56050150387 0
110.662378397767 0
110.764349166974 0
110.866413897996 0
110.968572677413 0
111.070825591887 0
111.173172728159 0
111.275614173052 0
111.378150013467 0
111.480780336384 0
111.583505228867 0
111.686324778056 0
111.789239071174 0
111.892248195524 0
111.995352238489 0
112.098551287531 0
112.201845430196 0
112.305234754108 0
112.408719346973 0
112.512299296577 0
112.615974690787 0
112.719745617551 0
112.823612164899 0
112.927574420942 0
113.03163247387 0
113.135786411956 0
113.240036323556 0
113.344382297103 0
113.448824421117 0
113.553362784194 0
113.657997475015 0
113.762728582343 0
113.867556195021 0
113.972480401975 0
114.077501292212 0
114.182618954822 0
114.287833478977 0
114.393144953931 0
114.498553469019 0
114.60405911366 0
114.709661977356 0
114.815362149688 0
114.921159720324 0
115.027054779012 0
115.133047415582 0
115.239137719949 0
115.345325782109 0
115.451611692143 0
115.557995540213 0
115.664477416565 0
115.771057411527 0
115.877735615513 0
115.984512119017 0
116.091387012618 0
116.19836038698 0
116.305432332847 0
116.412602941049 0
116.5198723025 0
116.627240508196 0
116.734707649219 0
116.842273816733 0
116.949939101987 0
117.057703596314 0
117.16556739113 0
117.273530577938 0
117.381593248322 0
117.489755493953 0
117.598017406585 0
117.706379078057 0
117.814840600293 0
117.9234020653 0
118.032063565173 0
118.140825192089 0
118.24968703831 0
118.358649196186 0
118.467711758148 0
118.576874816716 0
118.686138464492 0
118.795502794165 0
118.90496789851 0
119.014533870385 0
119.124200802737 0
119.233968788597 0
119.34383792108 0
119.453808293389 0
119.563879998812 0
119.674053130724 0
119.784327782586 0
119.894704047942 0
120.005182020427 0
120.115761793758 0
120.226443461741 0
120.337227118268 0
120.448112857318 0
120.559100772953 0
120.670190959327 0
120.781383510678 0
120.89267852133 0
121.004076085695 0
121.115576298273 0
121.22717925365 0
121.338885046498 0
121.450693771578 0
121.562605523738 0
121.674620397913 0
121.786738489126 0
121.898959892487 0
122.011284703193 0
122.123713016531 0
122.236244927873 0
122.348880532682 0
122.461619926505 0
122.574463204981 0
122.687410463834 0
122.800461798879 0
122.913617306017 0
123.026877081238 0
123.140241220622 0
123.253709820334 0
123.367282976632 0
123.48096078586 0
123.594743344451 0
123.708630748927 0
123.822623095899 0
123.936720482068 0
124.050923004223 0
124.165230759241 0
124.279643844092 0
124.394162355831 0
124.508786391605 0
124.623516048651 0
124.738351424294 0
124.853292615949 0
124.968339721122 0
125.083492837407 0
125.198752062488 0
125.314117494142 0
125.429589230232 0
125.545167368714 0
125.660852007633 0
125.776643245125 0
125.892541179417 0
126.008545908824 0
126.124657531754 0
126.240876146705 0
126.357201852266 0
126.473634747115 0
126.590174930025 0
126.706822499855 0
126.823577555559 0
126.94044019618 0
127.057410520854 0
127.174488628807 0
127.291674619356 0
127.408968591911 0
127.526370645973 0
127.643880881134 0
127.761499397079 0
127.879226293585 0
127.997061670518 0
128.11500562784 0
128.233058265602 0
128.35121968395 0
128.469489983119 0
128.58786926344 0
128.706357625333 0
128.824955169313 0
128.943661995987 0
129.062478206054 0
129.181403900306 0
129.300439179628 0
129.419584144999 0
129.538838897489 0
129.658203538263 0
129.777678168578 0
129.897262889785 0
130.016957803329 0
130.136763010746 0
130.256678613669 0
130.376704713821 0
130.496841413022 0
130.617088813184 0
130.737447016313 0
130.85791612451 0
130.978496239969 0
131.099187464978 0
131.21998990192 0
131.340903653273 0
131.461928821609 0
131.583065509592 0
131.704313819984 0
131.825673855641 0
131.947145719512 0
132.068729514642 0
132.190425344172 0
132.312233311337 0
132.434153519466 0
132.556186071986 0
132.678331072416 0
132.800588624373 0
132.922958831568 0
133.045441797809 0
133.168037626998 0
133.290746423134 0
133.413568290311 0
133.536503332719 0
133.659551654644 0
133.78271336047 0
133.905988554674 0
134.029377341831 0
134.152879826613 0
134.276496113786 0
134.400226308216 0
134.524070514863 0
134.648028838785 0
134.772101385135 0
134.896288259165 0
135.020589566224 0
135.145005411756 0
135.269535901304 0
135.394181140507 0
135.518941235103 0
135.643816290927 0
135.768806413909 0
135.89391171008 0
136.019132285567 0
136.144468246595 0
136.269919699487 0
136.395486750664 0
136.521169506645 0
136.646968074047 0
136.772882559585 0
136.898913070074 0
137.025059712425 0
137.151322593649 0
137.277701820855 0
137.404197501251 0
137.530809742145 0
137.657538650942 0
137.784384335145 0
137.91134690236 0
138.038426460288 0
138.165623116733 0
138.292936979594 0
138.420368156874 0
138.547916756672 0
138.675582887189 0
138.803366656724 0
138.931268173676 0
139.059287546545 0
139.18742488393 0
139.31568029453 0
139.444053887146 0
139.572545770677 0
139.701156054122 0
139.829884846584 0
139.958732257262 0
140.087698395458 0
140.216783370576 0
140.345987292118 0
140.475310269688 0
140.604752412991 0
140.734313831835 0
140.863994636125 0
140.993794935872 0
141.123714841185 0
141.253754462276 0
141.383913909457 0
141.514193293143 0
141.644592723851 0
141.7751123122 0
141.905752168909 0
142.036512404801 0
142.1673931308 0
142.298394457933 0
142.429516497329 0
142.560759360219 0
142.692123157936 0
142.823608001918 0
142.955214003703 0
143.086941274934 0
143.218789927354 0
143.350760072812 0
143.482851823259 0
143.615065290748 0
143.747400587436 0
143.879857825585 0
144.012437117557 0
144.145138575821 0
144.277962312948 0
144.410908441612 0
144.543977074593 0
144.677168324772 0
144.810482305137 0
144.943919128779 0
145.077478908891 0
145.211161758774 0
145.344967791831 0
145.478897121571 0
145.612949861606 0
145.747126125653 0
145.881426027535 0
146.015849681179 0
146.150397200616 0
146.285068699985 0
146.419864293528 0
146.554784095591 0
146.689828220629 0
146.824996783199 0
146.960289897965 0
147.095707679698 0
147.231250243272 0
147.366917703669 0
147.502710175976 0
147.638627775386 0
147.774670617199 0
147.910838816821 0
148.047132489762 0
148.183551751643 0
148.320096718187 0
148.456767505227 0
148.593564228701 0
148.730487004653 0
148.867535949236 0
149.00471117871 0
149.14201280944 0
149.2794409579 0
149.41699574067 0
149.55467727444 0
149.692485676004 0
149.830421062266 0
149.968483550237 0
150.106673257037 0
150.244990299891 0
150.383434796136 0
150.522006863213 0
